episode,reward
1,-124.0
2,-137.0
3,-111.0
4,140.0
5,-68.0
6,-132.0
7,-139.0
8,171.0
9,157.0
10,192.0
11,-138.0
12,-136.0
13,-124.0
14,159.0
15,-130.0
16,-116.0
17,-86.0
18,-114.0
19,-133.0
20,-120.0
21,152.0
22,147.0
23,-138.0
24,-124.0
25,-121.0
26,-126.0
27,-137.0
28,-123.0
29,-129.0
30,-132.0
31,157.0
32,176.0
33,-126.0
34,152.0
35,146.0
36,150.0
37,-23.0
38,158.0
39,-136.0
40,148.0
41,145.0
42,152.0
43,-134.0
44,-126.0
45,148.0
46,-20.0
47,-137.0
48,-73.0
49,211.0
50,-134.0
51,-139.0
52,-124.0
53,-128.0
54,142.0
55,-134.0
56,-131.0
57,148.0
58,-117.0
59,149.0
60,-139.0
61,163.0
62,143.0
63,-130.0
64,-123.0
65,143.0
66,-137.0
67,-137.0
68,143.0
69,146.0
70,-64.0
71,140.0
72,-138.0
73,151.0
74,-24.0
75,144.0
76,-139.0
77,-129.0
78,149.0
79,-135.0
80,146.0
81,142.0
82,143.0
83,147.0
84,146.0
85,175.0
86,-134.0
87,-120.0
88,149.0
89,143.0
90,147.0
91,-115.0
92,-139.0
93,160.0
94,-129.0
95,-135.0
96,145.0
97,-141.0
98,-137.0
99,140.0
100,142.0
101,-138.0
102,166.0
103,-140.0
104,-20.0
105,-116.0
106,-136.0
107,143.0
108,-140.0
109,-27.0
110,142.0
111,166.0
112,144.0
113,-66.0
114,151.0
115,-120.0
116,-142.0
117,-116.0
118,-49.0
119,-122.0
120,-29.0
121,139.0
122,-26.0
123,-131.0
124,-124.0
125,-135.0
126,146.0
127,142.0
128,156.0
129,-27.0
130,-141.0
131,145.0
132,-127.0
133,145.0
134,142.0
135,-131.0
136,142.0
137,-131.0
138,-123.0
139,157.0
140,-130.0
141,145.0
142,-136.0
143,149.0
144,144.0
145,147.0
146,-105.0
147,156.0
148,146.0
149,-118.0
150,140.0
151,-128.0
152,151.0
153,142.0
154,-47.0
155,-136.0
156,142.0
157,-130.0
158,147.0
159,160.0
160,-18.0
161,144.0
162,-136.0
163,-120.0
164,149.0
165,142.0
166,148.0
167,157.0
168,144.0
169,-41.0
170,-45.0
171,142.0
172,-29.0
173,143.0
174,142.0
175,143.0
176,144.0
177,156.0
178,152.0
179,151.0
180,145.0
181,-46.0
182,155.0
183,-27.0
184,140.0
185,144.0
186,143.0
187,-22.0
188,-125.0
189,146.0
190,158.0
191,-137.0
192,148.0
193,145.0
194,146.0
195,-67.0
196,148.0
197,149.0
198,142.0
199,151.0
200,142.0
201,146.0
202,142.0
203,148.0
204,-137.0
205,-23.0
206,142.0
207,147.0
208,152.0
209,142.0
210,142.0
211,-133.0
212,146.0
213,143.0
214,-127.0
215,-135.0
216,-128.0
217,-134.0
218,152.0
219,143.0
220,142.0
221,150.0
222,147.0
223,144.0
224,142.0
225,156.0
226,-39.0
227,-132.0
228,-143.0
229,153.0
230,146.0
231,149.0
232,-64.0
233,-43.0
234,-35.0
235,-41.0
236,-47.0
237,150.0
238,149.0
239,149.0
240,142.0
241,144.0
242,-65.0
243,-124.0
244,142.0
245,148.0
246,145.0
247,148.0
248,150.0
249,147.0
250,142.0
251,145.0
252,146.0
253,142.0
254,146.0
