episode,reward
1,163.0
2,160.0
3,-136.0
4,-38.0
5,-142.0
6,-117.0
7,-110.0
8,-126.0
9,-125.0
10,-133.0
11,-128.0
12,-21.0
13,-146.0
14,-137.0
15,-134.0
16,-139.0
17,-114.0
18,-133.0
19,-110.0
20,-129.0
21,-141.0
22,-131.0
23,-137.0
24,-145.0
25,-137.0
26,-130.0
27,-137.0
28,170.0
29,145.0
30,-127.0
31,147.0
32,-92.0
33,146.0
34,-55.0
35,-115.0
36,142.0
37,-67.0
38,-124.0
39,148.0
40,142.0
41,-139.0
42,-125.0
43,-105.0
44,-123.0
45,-134.0
46,-135.0
47,147.0
48,183.0
49,-28.0
50,146.0
51,146.0
52,164.0
53,143.0
54,-130.0
55,143.0
56,148.0
57,-131.0
58,-133.0
59,146.0
60,144.0
61,-127.0
62,-138.0
63,-138.0
64,-136.0
65,142.0
66,143.0
67,143.0
68,146.0
69,141.0
70,-27.0
71,-138.0
72,146.0
73,-130.0
74,148.0
75,-135.0
76,143.0
77,180.0
78,145.0
79,142.0
80,141.0
81,145.0
82,144.0
83,-136.0
84,-138.0
85,-35.0
86,-136.0
87,-138.0
88,142.0
89,156.0
90,143.0
91,-126.0
92,-18.0
93,149.0
94,142.0
95,-132.0
96,-133.0
97,-67.0
98,-24.0
99,146.0
100,180.0
101,-132.0
102,-127.0
103,-130.0
104,-19.0
105,142.0
106,150.0
107,150.0
108,143.0
109,-138.0
110,-129.0
111,143.0
112,146.0
113,-139.0
114,-130.0
115,-126.0
116,141.0
117,-141.0
118,-128.0
119,146.0
120,150.0
121,152.0
122,144.0
123,-118.0
124,143.0
125,139.0
126,144.0
127,-24.0
128,148.0
129,-117.0
130,142.0
131,142.0
132,143.0
133,-47.0
134,-136.0
135,146.0
136,142.0
137,142.0
138,-47.0
139,-29.0
140,152.0
141,-20.0
142,-136.0
143,-46.0
144,-130.0
145,-19.0
146,139.0
147,144.0
148,154.0
149,-136.0
150,-45.0
151,142.0
152,143.0
153,149.0
154,-44.0
155,-64.0
156,154.0
157,-134.0
158,144.0
159,-67.0
160,143.0
161,-44.0
162,-10.0
163,149.0
164,-137.0
165,-128.0
166,142.0
167,-63.0
168,147.0
169,143.0
170,-138.0
171,147.0
172,-40.0
173,-27.0
174,143.0
175,145.0
176,143.0
177,-136.0
178,142.0
179,-47.0
180,142.0
181,-137.0
182,-32.0
183,-48.0
184,144.0
185,143.0
186,150.0
187,-49.0
188,144.0
189,142.0
190,146.0
191,144.0
192,-37.0
193,153.0
194,-126.0
195,142.0
196,142.0
197,151.0
198,158.0
199,-15.0
200,146.0
201,152.0
202,142.0
203,152.0
204,-140.0
205,150.0
206,140.0
207,147.0
208,145.0
209,-137.0
210,-131.0
211,153.0
212,149.0
213,142.0
214,-122.0
215,-40.0
216,-122.0
217,-129.0
218,144.0
219,-130.0
220,143.0
221,168.0
222,-26.0
223,152.0
224,147.0
225,151.0
226,143.0
227,-139.0
228,145.0
229,-128.0
230,149.0
231,-24.0
232,157.0
233,-47.0
234,142.0
235,-27.0
236,145.0
237,144.0
238,150.0
239,-43.0
240,142.0
241,143.0
242,-27.0
243,148.0
244,144.0
245,143.0
246,-138.0
247,142.0
248,143.0
249,144.0
250,143.0
251,152.0
252,-135.0
253,146.0
254,143.0
255,-137.0
256,152.0
257,143.0
258,-34.0
259,-131.0
260,143.0
261,-18.0
262,143.0
263,-15.0
264,-67.0
265,143.0
266,146.0
267,147.0
268,143.0
269,-27.0
270,-27.0
271,-26.0
272,148.0
273,-34.0
274,-126.0
275,162.0
276,161.0
277,-47.0
278,167.0
279,141.0
280,142.0
281,-47.0
282,-141.0
283,142.0
284,142.0
285,142.0
286,143.0
287,-47.0
288,144.0
289,-133.0
290,145.0
291,142.0
292,-128.0
293,-17.0
294,-47.0
295,143.0
296,142.0
297,-47.0
298,-61.0
299,-132.0
300,147.0
301,147.0
302,156.0
303,142.0
304,-127.0
305,148.0
306,-126.0
307,144.0
308,143.0
309,143.0
310,-136.0
311,142.0
312,-27.0
313,-137.0
314,143.0
315,-133.0
316,152.0
317,148.0
318,146.0
319,153.0
320,-137.0
321,-139.0
322,-26.0
323,-47.0
324,-128.0
325,144.0
326,143.0
327,144.0
328,142.0
329,145.0
330,-24.0
331,-37.0
332,-133.0
333,142.0
334,150.0
335,-47.0
336,142.0
337,-47.0
338,-46.0
339,142.0
340,145.0
341,154.0
342,151.0
343,153.0
344,142.0
345,149.0
346,142.0
347,148.0
348,161.0
349,142.0
350,142.0
351,142.0
352,-27.0
353,157.0
354,149.0
355,145.0
356,154.0
357,156.0
358,-140.0
359,-139.0
360,142.0
361,161.0
362,142.0
363,-18.0
364,-118.0
365,142.0
366,-47.0
367,147.0
368,-44.0
369,150.0
370,161.0
371,143.0
372,142.0
373,145.0
374,153.0
375,159.0
376,142.0
377,155.0
378,-132.0
379,147.0
380,-131.0
381,-134.0
382,-19.0
383,185.0
384,152.0
385,-16.0
386,-128.0
387,-111.0
388,-123.0
389,148.0
390,-49.0
391,152.0
392,142.0
393,149.0
394,162.0
395,142.0
396,149.0
397,142.0
398,142.0
399,142.0
400,-128.0
401,153.0
402,-133.0
403,147.0
404,142.0
405,145.0
406,155.0
407,142.0
408,156.0
409,149.0
410,-137.0
411,145.0
412,-129.0
413,142.0
414,147.0
415,146.0
416,142.0
417,145.0
418,146.0
419,-137.0
420,145.0
421,146.0
422,144.0
423,151.0
424,-138.0
425,144.0
426,142.0
427,145.0
428,145.0
429,142.0
430,144.0
431,143.0
432,-140.0
433,-20.0
434,147.0
435,144.0
436,150.0
437,-130.0
438,142.0
439,-124.0
440,-24.0
441,151.0
442,142.0
443,145.0
444,142.0
445,-137.0
446,143.0
447,142.0
448,152.0
449,144.0
450,142.0
451,147.0
452,-132.0
453,149.0
454,144.0
455,145.0
456,148.0
457,-129.0
458,142.0
459,-130.0
460,144.0
461,156.0
462,142.0
463,-58.0
464,142.0
465,-131.0
466,142.0
467,142.0
468,145.0
469,150.0
470,146.0
471,-67.0
472,143.0
473,147.0
474,142.0
475,-129.0
476,142.0
477,144.0
478,142.0
479,142.0
480,142.0
481,150.0
482,146.0
483,145.0
484,142.0
485,145.0
486,162.0
487,148.0
488,142.0
489,142.0
490,147.0
491,142.0
492,144.0
493,143.0
494,142.0
495,154.0
496,142.0
497,142.0
498,-30.0
499,-131.0
500,-140.0
