episode,reward
1,-826.0
2,43.0
3,29.0
4,-499.0
5,-141.0
6,-545.0
7,-13.0
8,-651.0
9,-101.0
10,-440.0
11,-443.0
12,-207.0
13,-258.0
14,-462.0
15,-318.0
16,-169.0
17,36.0
18,37.0
19,75.0
20,52.0
21,-1570.0
22,-110.0
23,18.0
24,-257.0
25,-44.0
26,41.0
27,-1530.0
28,-38.0
29,-642.0
30,23.0
31,-439.0
32,2.0
33,-35.0
34,-469.0
35,94.0
36,-188.0
37,-24.0
38,-430.0
39,-339.0
40,-442.0
41,-398.0
42,-386.0
43,75.0
44,-434.0
45,94.0
46,-442.0
47,-106.0
48,81.0
49,-353.0
50,-598.0
51,-411.0
52,-363.0
53,-201.0
54,-759.0
55,-289.0
56,-190.0
57,-548.0
58,-25.0
59,-582.0
60,-435.0
61,-831.0
62,-460.0
63,31.0
64,-426.0
65,-622.0
66,-390.0
67,49.0
68,-248.0
69,-283.0
70,-874.0
71,-510.0
72,-262.0
73,-567.0
74,-737.0
75,-407.0
76,-334.0
77,-468.0
78,-245.0
79,90.0
80,-426.0
81,-68.0
82,92.0
83,-434.0
84,-751.0
85,80.0
86,84.0
87,-1675.0
88,-556.0
89,-672.0
90,8.0
91,-480.0
92,-179.0
93,35.0
94,78.0
95,-102.0
96,-84.0
97,75.0
98,-736.0
99,-655.0
100,-156.0
101,61.0
102,-618.0
103,-418.0
104,40.0
105,-697.0
106,-151.0
107,-405.0
108,-572.0
109,-370.0
110,47.0
111,-345.0
112,70.0
113,-561.0
114,83.0
115,-90.0
116,-978.0
117,-630.0
118,-1735.0
119,95.0
120,-512.0
121,-748.0
122,-401.0
123,-693.0
124,70.0
125,-113.0
126,-478.0
127,-31.0
128,-322.0
129,-67.0
130,-632.0
131,-188.0
132,-549.0
133,-190.0
134,-704.0
135,-772.0
136,-474.0
137,66.0
138,57.0
139,77.0
140,51.0
141,-698.0
142,0.0
143,-754.0
144,-1104.0
145,-375.0
146,-588.0
147,-67.0
148,-281.0
149,-269.0
150,-1037.0
151,-719.0
152,5.0
153,-323.0
154,-645.0
155,-331.0
156,-483.0
157,-1059.0
158,-120.0
159,-1090.0
160,-796.0
161,-571.0
162,-701.0
163,54.0
164,-656.0
165,-242.0
166,-582.0
167,-278.0
168,95.0
169,-1473.0
170,-195.0
171,-344.0
172,-804.0
173,-455.0
174,-1226.0
175,99.0
176,-632.0
177,-10.0
178,-721.0
179,-169.0
180,-418.0
181,-373.0
182,-427.0
183,-313.0
184,-909.0
185,-1128.0
186,-1800.0
187,-992.0
188,74.0
189,-768.0
190,-1121.0
191,-1040.0
192,-530.0
193,-126.0
194,-332.0
195,-748.0
196,-38.0
197,-59.0
198,-1138.0
199,-1061.0
200,100.0
201,-558.0
202,-346.0
203,-453.0
204,-1152.0
205,-497.0
206,-656.0
207,-802.0
208,-912.0
209,-1273.0
210,100.0
211,-602.0
212,94.0
213,-56.0
214,-141.0
215,-1820.0
216,-664.0
217,73.0
218,-605.0
219,-365.0
220,-1053.0
221,-524.0
222,-364.0
223,-786.0
224,-865.0
225,-200.0
226,-276.0
227,85.0
228,-393.0
229,-332.0
230,-339.0
231,-1219.0
232,-1144.0
233,-437.0
234,-515.0
235,-6.0
236,-246.0
237,73.0
238,100.0
239,-420.0
240,-162.0
241,-471.0
242,-634.0
243,-1740.0
244,32.0
245,-636.0
246,-1675.0
247,97.0
248,23.0
249,-37.0
250,-1229.0
251,-1525.0
252,-942.0
253,-1110.0
254,-936.0
255,-1550.0
256,-1641.0
257,-991.0
258,100.0
259,-340.0
260,-171.0
261,-888.0
262,88.0
263,94.0
264,-331.0
265,97.0
