episode,reward
1,51.0
2,-439.0
3,-489.0
4,-359.0
5,-163.0
6,4.0
7,-397.0
8,-528.0
9,62.0
10,24.0
11,-563.0
12,-257.0
13,-598.0
14,-728.0
15,-265.0
16,-467.0
17,-549.0
18,-12.0
19,-431.0
20,-513.0
21,-183.0
22,-134.0
23,-321.0
24,-335.0
25,-702.0
26,-318.0
27,22.0
28,-384.0
29,-660.0
30,62.0
31,-405.0
32,-1485.0
33,-390.0
34,-147.0
35,-628.0
36,-503.0
37,-429.0
38,-461.0
39,-325.0
40,-298.0
41,-129.0
42,-383.0
43,-625.0
44,94.0
45,-229.0
46,-107.0
47,-13.0
48,-530.0
49,-690.0
50,89.0
51,8.0
52,-459.0
53,-445.0
54,-416.0
55,-11.0
56,-1475.0
57,37.0
58,-16.0
59,-30.0
60,-30.0
61,-504.0
62,-382.0
63,-342.0
64,-381.0
65,-445.0
66,-372.0
67,-531.0
68,-388.0
69,-450.0
70,69.0
71,-396.0
72,-143.0
73,-342.0
74,-420.0
75,80.0
76,-346.0
77,-626.0
78,-578.0
79,-64.0
80,96.0
81,-482.0
82,-597.0
83,-397.0
84,-418.0
85,-72.0
86,-537.0
87,-364.0
88,-532.0
89,-368.0
90,-58.0
91,-256.0
92,-305.0
93,-316.0
94,-126.0
95,-350.0
96,-194.0
97,74.0
98,-384.0
99,-549.0
100,96.0
101,46.0
102,-440.0
103,-532.0
104,23.0
105,92.0
106,85.0
107,-239.0
108,5.0
109,94.0
110,-436.0
111,2.0
112,-334.0
113,-159.0
114,-251.0
115,34.0
116,27.0
117,-430.0
118,-56.0
119,4.0
120,-451.0
121,100.0
122,-541.0
123,16.0
124,-531.0
125,-250.0
126,-676.0
127,8.0
128,66.0
129,-405.0
130,-27.0
131,98.0
132,-419.0
133,93.0
134,-13.0
135,-3.0
136,-397.0
137,-382.0
138,-308.0
139,-77.0
140,-297.0
141,57.0
142,67.0
143,-474.0
144,-299.0
145,-151.0
146,-83.0
147,25.0
148,46.0
149,-401.0
150,-93.0
151,-292.0
152,-61.0
153,-337.0
154,78.0
155,-357.0
156,-419.0
157,90.0
158,-464.0
159,62.0
160,-259.0
161,-8.0
162,-607.0
163,-12.0
164,-327.0
165,-383.0
166,19.0
167,-335.0
168,-559.0
169,-132.0
170,-428.0
171,5.0
172,34.0
173,-2.0
174,-476.0
175,99.0
176,-351.0
177,-500.0
178,-262.0
179,-274.0
180,-344.0
181,-357.0
182,-227.0
183,-333.0
184,-437.0
185,41.0
186,26.0
187,-390.0
188,-311.0
189,-363.0
190,-444.0
191,-81.0
192,31.0
193,-290.0
194,-333.0
195,80.0
196,-198.0
197,89.0
198,58.0
199,99.0
200,17.0
201,99.0
202,-333.0
203,-378.0
204,-468.0
205,-292.0
206,-483.0
207,-306.0
208,-191.0
209,40.0
210,-392.0
211,36.0
212,21.0
213,-8.0
214,-91.0
215,-460.0
216,-30.0
217,-344.0
218,-275.0
219,-434.0
220,-284.0
221,-134.0
222,66.0
223,-280.0
224,-343.0
225,-248.0
226,-142.0
227,-302.0
228,60.0
229,-6.0
230,-320.0
231,-362.0
232,-417.0
233,100.0
234,-307.0
235,29.0
236,-68.0
237,41.0
238,-408.0
239,68.0
240,-320.0
241,-474.0
242,-323.0
243,72.0
244,-361.0
245,-341.0
246,-334.0
247,-283.0
248,-259.0
249,-402.0
250,-238.0
251,85.0
252,-491.0
253,-60.0
254,-467.0
255,35.0
256,-459.0
257,79.0
258,-254.0
259,76.0
260,-92.0
261,-16.0
262,60.0
263,92.0
264,95.0
265,-7.0
266,-60.0
267,-367.0
268,-317.0
269,-276.0
270,-260.0
271,-444.0
272,-347.0
273,-24.0
274,24.0
275,-391.0
276,-334.0
277,-363.0
278,-325.0
279,67.0
280,83.0
281,95.0
282,-329.0
283,-302.0
284,-95.0
285,98.0
286,77.0
287,-271.0
288,-378.0
289,-202.0
290,79.0
291,-138.0
292,-77.0
293,-222.0
294,-325.0
295,-257.0
296,-344.0
297,-436.0
298,-222.0
299,-217.0
300,-344.0
301,100.0
302,-230.0
303,-230.0
304,-293.0
305,-229.0
306,-208.0
307,8.0
308,-282.0
309,-137.0
310,-401.0
311,69.0
312,76.0
313,-303.0
314,69.0
315,88.0
316,-312.0
317,91.0
318,-230.0
319,-329.0
320,-81.0
321,-361.0
322,-331.0
323,-1320.0
324,-370.0
325,-357.0
326,-81.0
327,-92.0
328,-123.0
329,-192.0
330,-45.0
331,-351.0
332,-243.0
333,94.0
334,-303.0
335,-262.0
336,-305.0
337,-278.0
338,-279.0
339,-271.0
340,-31.0
341,-125.0
342,-264.0
343,-427.0
344,-280.0
345,-298.0
346,-312.0
347,-1395.0
348,-387.0
349,-354.0
350,97.0
351,-370.0
352,97.0
353,10.0
354,-109.0
355,99.0
356,49.0
357,-297.0
358,-244.0
359,-240.0
360,99.0
361,-254.0
362,-251.0
363,100.0
364,71.0
365,65.0
366,31.0
367,-260.0
368,55.0
369,96.0
370,-347.0
371,-306.0
372,89.0
373,-175.0
374,-316.0
375,-227.0
376,-319.0
377,-400.0
378,-553.0
379,-909.0
380,-156.0
381,-343.0
382,-280.0
383,4.0
384,-347.0
385,-67.0
386,-276.0
387,-21.0
388,-292.0
389,-267.0
390,17.0
391,-222.0
392,-244.0
393,-32.0
394,67.0
395,-226.0
396,69.0
397,-251.0
398,-239.0
399,-261.0
400,-330.0
401,-448.0
402,-346.0
403,-302.0
404,-245.0
405,-280.0
406,58.0
407,82.0
408,-240.0
409,92.0
410,29.0
411,-41.0
412,-312.0
413,-321.0
414,98.0
415,-432.0
416,-436.0
417,-282.0
418,-105.0
419,-72.0
420,-44.0
421,-387.0
422,-70.0
423,99.0
424,-446.0
425,-383.0
426,-310.0
427,-248.0
428,-51.0
429,-376.0
430,-292.0
431,-329.0
432,-279.0
433,25.0
434,98.0
435,-320.0
436,-262.0
437,83.0
438,-389.0
439,-112.0
440,-30.0
441,-414.0
442,-345.0
443,-227.0
444,49.0
445,-226.0
446,30.0
447,-330.0
448,-239.0
449,27.0
450,47.0
451,-297.0
452,-227.0
453,-342.0
454,-262.0
455,88.0
456,-370.0
457,1.0
458,-301.0
459,-213.0
460,-3.0
461,-262.0
462,-290.0
463,-329.0
464,-295.0
465,-275.0
466,-279.0
467,16.0
468,-321.0
469,99.0
470,-227.0
471,-266.0
472,-256.0
473,-267.0
474,57.0
475,-174.0
476,-89.0
477,-308.0
478,-130.0
479,81.0
