episode,reward
1,-1166.0
2,-700.0
3,-516.0
4,93.0
5,-545.0
6,-574.0
7,-1530.0
8,-200.0
9,-371.0
10,-389.0
11,-499.0
12,-193.0
13,-307.0
14,-96.0
15,-704.0
16,-375.0
17,84.0
18,-169.0
19,-136.0
20,32.0
21,-52.0
22,-406.0
23,-432.0
24,-594.0
25,-493.0
26,-594.0
27,69.0
28,22.0
29,-292.0
30,-274.0
31,-22.0
32,-364.0
33,66.0
34,-132.0
35,-37.0
36,67.0
37,-141.0
38,-11.0
39,-453.0
40,-493.0
41,-376.0
42,-587.0
43,-464.0
44,-28.0
45,-508.0
46,73.0
47,-631.0
48,-62.0
49,-506.0
50,-417.0
51,-493.0
52,-488.0
53,-527.0
54,-517.0
55,-414.0
56,-449.0
57,-419.0
58,-392.0
59,-629.0
60,-472.0
61,-1370.0
62,-513.0
63,69.0
64,-471.0
65,91.0
66,-434.0
67,-535.0
68,-544.0
69,-493.0
70,-73.0
71,-371.0
72,15.0
73,-414.0
74,100.0
75,20.0
76,-416.0
77,-76.0
78,49.0
79,94.0
80,-410.0
81,-148.0
82,-422.0
83,44.0
84,90.0
85,-417.0
86,-39.0
87,-394.0
88,-159.0
89,-563.0
90,100.0
91,-198.0
92,-280.0
93,54.0
94,76.0
95,-77.0
96,-425.0
97,-463.0
98,-410.0
99,-477.0
100,-204.0
101,62.0
102,-444.0
103,29.0
104,-399.0
105,4.0
106,-316.0
107,-439.0
108,-493.0
109,-181.0
110,-507.0
111,-1405.0
112,7.0
113,-395.0
114,-221.0
115,-588.0
116,-49.0
117,-39.0
118,3.0
119,-127.0
120,-113.0
121,50.0
122,24.0
123,-419.0
124,-542.0
125,0.0
126,-266.0
127,-546.0
128,-136.0
129,88.0
130,-18.0
131,-413.0
132,-544.0
133,48.0
134,9.0
135,-319.0
136,79.0
137,-115.0
138,61.0
139,-156.0
140,-52.0
141,-12.0
142,-54.0
143,89.0
144,-500.0
145,-485.0
146,54.0
147,-208.0
148,-261.0
149,-154.0
150,-204.0
151,-441.0
152,-336.0
153,-209.0
154,-44.0
155,-92.0
156,-523.0
157,9.0
158,-762.0
159,-477.0
160,-6.0
161,91.0
162,67.0
163,83.0
164,100.0
165,-591.0
166,81.0
167,-394.0
168,-80.0
169,57.0
170,-353.0
171,-230.0
172,-336.0
173,-513.0
174,-82.0
175,-627.0
176,-22.0
177,-179.0
178,-584.0
179,-155.0
180,-350.0
181,-527.0
182,85.0
183,-442.0
184,-496.0
185,-62.0
186,-450.0
187,-332.0
188,-395.0
189,96.0
190,92.0
191,27.0
192,-329.0
193,98.0
194,-1320.0
195,-266.0
196,84.0
197,-594.0
198,-304.0
199,-394.0
200,-413.0
201,-15.0
202,-25.0
203,-102.0
204,-399.0
205,20.0
206,-237.0
207,-324.0
208,-348.0
209,-379.0
210,-261.0
211,66.0
212,-393.0
213,-349.0
214,-128.0
215,95.0
216,-370.0
217,-363.0
218,-435.0
