episode,reward
1,-209.0
2,-86.0
3,-102.0
4,-288.0
5,-572.0
6,52.0
7,-552.0
8,-600.0
9,-288.0
10,-82.0
11,-424.0
12,-163.0
13,-26.0
14,-361.0
15,-89.0
16,-500.0
17,-365.0
18,-99.0
19,-297.0
20,-115.0
21,-253.0
22,-142.0
23,-35.0
24,-28.0
25,27.0
26,27.0
27,0.0
28,-2.0
29,-183.0
30,-40.0
31,-4.0
32,-97.0
33,-18.0
34,1.0
35,12.0
36,33.0
37,-12.0
38,-252.0
39,-36.0
40,-75.0
41,-19.0
42,-17.0
43,-259.0
44,-82.0
45,33.0
46,-13.0
47,-34.0
48,-40.0
49,20.0
50,13.0
51,-44.0
52,0.0
53,-80.0
54,38.0
55,27.0
56,-30.0
57,-14.0
58,-1.0
59,28.0
60,12.0
61,1.0
62,-78.0
63,3.0
64,48.0
65,-25.0
66,68.0
67,-2.0
68,-17.0
69,77.0
70,30.0
71,43.0
72,84.0
73,47.0
74,-58.0
75,7.0
76,32.0
77,8.0
78,50.0
79,74.0
80,11.0
81,-27.0
82,22.0
83,41.0
84,22.0
85,26.0
86,77.0
87,36.0
88,62.0
89,5.0
90,-15.0
91,55.0
92,79.0
93,71.0
94,50.0
95,59.0
96,40.0
97,50.0
98,64.0
99,53.0
100,25.0
101,76.0
102,72.0
103,33.0
104,-1.0
105,38.0
106,64.0
107,58.0
108,58.0
109,27.0
110,54.0
111,65.0
112,24.0
113,27.0
114,74.0
115,89.0
116,84.0
117,42.0
118,65.0
119,40.0
120,37.0
121,76.0
122,72.0
123,27.0
124,82.0
125,74.0
126,86.0
127,72.0
128,60.0
129,47.0
130,81.0
131,61.0
132,42.0
133,55.0
134,66.0
135,82.0
136,57.0
137,76.0
138,79.0
139,69.0
140,45.0
141,73.0
142,77.0
143,69.0
144,55.0
145,56.0
146,70.0
147,70.0
148,72.0
149,84.0
150,79.0
151,53.0
152,65.0
153,87.0
154,60.0
155,82.0
156,64.0
157,82.0
158,81.0
159,77.0
160,41.0
161,74.0
162,72.0
163,31.0
164,74.0
165,61.0
166,82.0
167,63.0
168,86.0
169,77.0
170,76.0
171,64.0
172,64.0
173,72.0
174,77.0
175,71.0
176,75.0
177,81.0
178,68.0
179,70.0
180,79.0
181,87.0
182,75.0
183,77.0
184,77.0
185,57.0
186,74.0
187,77.0
188,76.0
189,72.0
190,71.0
191,81.0
192,81.0
193,74.0
194,64.0
195,79.0
196,71.0
197,72.0
198,89.0
199,76.0
200,76.0
201,62.0
202,69.0
203,76.0
204,89.0
205,72.0
206,67.0
207,73.0
208,84.0
209,81.0
210,82.0
211,81.0
212,86.0
213,91.0
214,91.0
215,79.0
216,69.0
217,81.0
218,79.0
219,62.0
220,79.0
221,86.0
222,87.0
223,79.0
224,85.0
225,91.0
226,86.0
227,73.0
228,82.0
229,86.0
