episode,reward
1,-1444.0
2,-1440.0
3,-1440.0
4,-1083.0
5,-1384.0
6,-1360.0
7,-1368.0
8,-1492.0
9,-1388.0
10,-1352.0
11,-1380.0
12,-1065.0
13,-954.0
14,-1400.0
15,-1488.0
16,-1340.0
17,-1364.0
18,-546.0
19,-996.0
20,-1143.0
21,-1440.0
22,-498.0
23,-1084.0
24,-1164.0
25,-1280.0
26,-1348.0
27,-931.0
28,-1296.0
29,-1190.0
30,-390.0
31,-465.0
32,-628.0
33,-1460.0
34,-344.0
35,-826.0
36,-1050.0
37,-227.0
38,-1102.0
39,-221.0
40,-1123.0
41,-630.0
42,-917.0
43,-197.0
44,-1078.0
45,-164.0
46,-105.0
47,-825.0
48,-232.0
49,-155.0
50,-529.0
51,-236.0
52,-316.0
53,-409.0
54,-1308.0
55,-506.0
56,-690.0
57,-597.0
58,-171.0
59,-215.0
60,-218.0
61,-467.0
62,-579.0
63,-607.0
64,-374.0
65,-295.0
66,-517.0
67,-392.0
68,-267.0
69,-133.0
70,-104.0
71,-442.0
72,-389.0
73,-83.0
74,-185.0
75,-123.0
76,-248.0
77,-399.0
78,-162.0
79,-186.0
80,-192.0
81,-274.0
82,-144.0
83,-622.0
84,-236.0
85,-215.0
86,-222.0
87,-107.0
88,-114.0
89,-195.0
90,-136.0
91,-254.0
92,-82.0
93,-93.0
94,-190.0
95,-336.0
96,-47.0
97,-59.0
98,-92.0
99,-343.0
100,-132.0
101,-136.0
102,-83.0
103,-374.0
104,-30.0
105,-222.0
106,-307.0
107,-137.0
108,-75.0
109,-253.0
110,-278.0
111,-59.0
112,-26.0
113,-164.0
114,-149.0
115,-94.0
116,-205.0
117,4.0
118,3.0
119,-21.0
120,-20.0
121,-157.0
122,-5.0
123,-85.0
124,-78.0
125,-154.0
126,-212.0
127,-86.0
128,-29.0
129,9.0
130,-1.0
131,-40.0
132,-62.0
133,-141.0
134,7.0
135,19.0
136,-61.0
137,17.0
138,-133.0
139,-31.0
140,18.0
141,14.0
142,-58.0
143,9.0
144,-164.0
145,9.0
146,-25.0
147,40.0
148,-35.0
149,-39.0
150,0.0
151,33.0
152,-191.0
153,18.0
154,-35.0
155,1.0
156,-42.0
157,-95.0
158,-21.0
159,25.0
160,-113.0
161,-1.0
162,-98.0
163,-29.0
164,28.0
165,1.0
166,-41.0
167,-78.0
168,-19.0
169,-54.0
170,-71.0
171,9.0
172,-30.0
173,13.0
174,-65.0
175,-32.0
176,4.0
177,-44.0
178,31.0
179,-12.0
180,-17.0
181,-3.0
182,38.0
183,3.0
184,-22.0
185,-32.0
186,-5.0
187,-26.0
188,9.0
189,-10.0
190,10.0
191,8.0
192,-152.0
193,-17.0
194,9.0
195,14.0
196,35.0
197,-79.0
198,-35.0
199,21.0
200,-8.0
