episode,reward
1,-608.0
2,57.0
3,-192.0
4,-564.0
5,-241.0
6,-612.0
7,-540.0
8,-580.0
9,-608.0
10,-125.0
11,-417.0
12,-447.0
13,-342.0
14,10.0
15,-187.0
16,-131.0
17,-288.0
18,-240.0
19,-69.0
20,18.0
21,28.0
22,-97.0
23,-33.0
24,-572.0
25,-156.0
26,-43.0
27,-568.0
28,-58.0
29,-139.0
30,-148.0
31,-65.0
32,-94.0
33,16.0
34,-328.0
35,-117.0
36,-117.0
37,-136.0
38,-33.0
39,-102.0
40,65.0
41,-111.0
42,-9.0
43,-116.0
44,-19.0
45,54.0
46,31.0
47,-7.0
48,25.0
49,45.0
50,35.0
51,45.0
52,9.0
53,55.0
54,39.0
55,19.0
56,30.0
57,67.0
58,-37.0
59,12.0
60,26.0
61,-49.0
62,26.0
63,9.0
64,59.0
65,7.0
66,-47.0
67,48.0
68,-100.0
69,36.0
70,22.0
71,-79.0
72,9.0
73,-26.0
74,-3.0
75,54.0
76,43.0
77,22.0
78,39.0
79,13.0
80,4.0
81,79.0
82,-65.0
83,15.0
84,41.0
85,64.0
86,34.0
87,58.0
88,69.0
89,-21.0
90,61.0
91,0.0
92,-15.0
93,18.0
94,48.0
95,49.0
96,60.0
97,74.0
98,69.0
99,27.0
100,72.0
101,59.0
102,55.0
103,12.0
104,35.0
105,72.0
106,43.0
107,53.0
108,48.0
109,46.0
110,48.0
111,74.0
112,77.0
113,76.0
114,80.0
115,37.0
116,57.0
117,86.0
118,71.0
119,33.0
120,59.0
121,62.0
122,61.0
123,64.0
124,81.0
125,56.0
126,74.0
127,79.0
128,25.0
129,57.0
130,65.0
131,79.0
132,81.0
133,49.0
134,46.0
135,66.0
136,59.0
137,52.0
138,77.0
139,49.0
140,38.0
141,25.0
142,60.0
143,71.0
144,82.0
145,87.0
146,71.0
147,71.0
148,79.0
149,41.0
150,72.0
151,67.0
152,61.0
153,66.0
154,77.0
155,72.0
156,81.0
157,62.0
158,64.0
159,63.0
160,51.0
161,84.0
162,69.0
163,79.0
164,69.0
165,64.0
166,70.0
167,86.0
168,72.0
169,69.0
170,76.0
171,69.0
172,79.0
173,91.0
174,81.0
175,72.0
176,80.0
177,80.0
178,43.0
179,77.0
180,64.0
181,49.0
182,84.0
183,54.0
184,86.0
185,78.0
186,48.0
187,77.0
188,74.0
189,69.0
190,89.0
191,79.0
192,79.0
193,78.0
194,77.0
195,70.0
196,89.0
197,43.0
198,76.0
199,63.0
200,81.0
201,75.0
202,67.0
203,84.0
204,82.0
205,66.0
206,80.0
207,89.0
208,91.0
209,74.0
210,61.0
211,74.0
212,80.0
213,69.0
214,65.0
215,81.0
216,82.0
217,64.0
218,79.0
219,72.0
220,84.0
221,71.0
222,64.0
223,76.0
224,91.0
225,77.0
226,73.0
227,69.0
228,68.0
229,81.0
230,59.0
231,61.0
232,86.0
233,72.0
234,86.0
235,86.0
236,84.0
237,89.0
